ID	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
R4155	0.163	0.0047	1224.6	0.939	0.622	27.3	83	17656	1222	0.409	0.0607	4.42	6.38	1.92
R4158	0.277	0.0022	1027.2	0.881	0.528	12.9	38.8	17656	1023	0.461	0.119	3.66	5.28	1.59
S4166	0.163	0.00844	1357.1	0.962	0.694	50	149	17656	1354	0.399	0.0381	5	7.22	2.17
X4206	0.138	0.00583	1244.8	0.951	0.651	35.1	103	17656	1242	0.408	0.0486	4.63	6.69	2.01
X4210	0.168	0.00421	1146.3	0.934	0.612	24.8	74.3	17656	1143	0.416	0.0658	4.31	6.22	1.87
Y4216	0.163	0.00428	1104.5	0.941	0.617	27.5	75.5	17656	1100	0.453	0.0594	4.32	6.24	1.88
A4003	0.249	0.00319	1054.6	0.907	0.579	18	56.3	17656	1051	0.437	0.0926	4.03	5.81	1.75
A4005	0.181	0.0053	1172.5	0.945	0.643	31.8	93.6	17656	1169	0.426	0.055	4.54	6.55	1.97
A4006	0.165	0.00347	1035.9	0.93	0.593	22.4	61.3	17656	1033	0.433	0.0699	4.12	5.94	1.79
A4007	0.243	0.00326	1169.1	0.907	0.574	17.6	57.6	17656	1166	0.428	0.0932	4.05	5.85	1.76
A4009	0.201	0.00401	1196.3	0.927	0.601	22.6	70.8	17656	1193	0.418	0.0731	4.26	6.15	1.85
B4011	0.148	0.00509	1248.5	0.946	0.631	30	89.9	17656	1246	0.395	0.0545	4.5	6.49	1.95
B4012	0.196	0.00191	912.9	0.89	0.517	13	33.8	17656	909	0.48	0.11	3.52	5.08	1.53
B4013	0.251	0.00149	880.6	0.86	0.482	10	26.3	17656	877	0.469	0.14	3.27	4.72	1.42
B4014	0.175	0.00567	1302.2	0.946	0.642	32.2	100.1	17656	1299	0.425	0.0539	4.61	6.65	2
B4015	0.185	0.00355	1124.8	0.927	0.589	21.3	62.6	17656	1122	0.41	0.0735	4.14	5.97	1.8
B4018	0.136	0.00591	1282.2	0.956	0.65	37.2	104.3	17656	1279	0.423	0.0436	4.65	6.71	2.02
B4019	0.113	0.00724	1368	0.964	0.672	46	127.8	17656	1365	0.415	0.0361	4.85	7	2.11
C4024	0.125	0.00685	1327.8	0.956	0.667	39.8	120.9	17656	1325	0.399	0.044	4.8	6.92	2.08
C4025	0.207	0.00235	988.1	0.897	0.54	14.6	41.4	17656	984	0.471	0.103	3.72	5.37	1.62
C4026	0.253	0.00253	869.6	0.907	0.562	16.9	44.7	17656	866	0.441	0.0931	3.8	5.48	1.65
C4029	0.159	0.00464	1196.3	0.94	0.622	27.3	81.9	17656	1194	0.392	0.0597	4.41	6.36	1.91
C4030	0.144	0.00516	1167.1	0.951	0.639	33.1	91.1	17656	1163	0.425	0.0493	4.51	6.51	1.96
D4031	0.195	0.00369	1054	0.931	0.6	23.3	65.2	17656	1051	0.417	0.0687	4.18	6.03	1.81
D4033	0.226	0.00225	982.2	0.893	0.535	13.9	39.8	17656	978	0.466	0.107	3.68	5.31	1.6
D4034	0.164	0.00581	1192.9	0.953	0.654	35.9	102.6	17656	1190	0.397	0.0474	4.63	6.68	2.01
D4035	0.13	0.00661	1347.9	0.957	0.661	39.5	116.7	17656	1345	0.403	0.0428	4.76	6.87	2.07
D4036	0.0933	0.00836	1378.5	0.971	0.691	55.9	147.7	17656	1376	0.391	0.0294	4.99	7.21	2.17
