Samples	PC1	PC2	PC3	PC4
P4132	0.0696214945311902	0.0527738595972781	0.0387616563793142	-0.0355021568299392
P4134	-0.0288581728956964	0.0726523362371077	0.0471724764787357	0.00543395872545101
P4135	0.141503588414507	-0.035800130712582	0.0665829053605704	-0.0264658861564985
P4138	-0.128632537496433	-0.102754543124533	-0.0770902531016177	0.0245251934903379
P4139	-0.148587546143732	-0.112408883492049	-0.051465004934438	-0.0488512142848114
P4140	0.0607241375470019	-0.055997313301986	-0.0580727676115977	0.0458317316864108
Q4141	0.0865191148036296	0.0136030291839498	-0.0415348409013067	0.044188954761345
Q4142	-0.170013154024113	0.0460080552280046	0.0455064795468603	0.0103628470819325
Q4143	0.0974483959177318	0.0477025468380529	0.0735742927620128	-0.0123218029799425
Q4144	0.0819288293791879	0.102479078754357	0.00101334578153322	0.137251656440206
Q4145	-0.0756504267122702	-0.0636105412002998	0.0260464581035031	0.0791063311497791
Q4146	0.164493995284956	0.0718717083690487	0.0524608061002025	0.0900172425073791
Q4147	-0.143385955054025	-0.0491696029156731	0.0569993626691459	0.024695297686375
Q4148	-0.110723139370502	-0.00961816715254052	-0.0319252142195544	-0.0986450813725537
Q4149	-0.149037616688406	-0.0488187390931539	0.0655866684175569	0.0476561154627163
Q4150	0.0659245039899563	-0.212233801120621	-0.00111332020162621	-0.0638275004522571
R4151	0.16205206384164	0.0667075337031288	-0.00642363336980657	0.069406576089785
R4152	-0.0241432453577274	0.135344389709103	0.00970859884998982	0.00440110826879403
R4153	0.151131406554531	-0.0012287829892843	0.105536611117843	-0.0605660941099807
R4154	0.0859272216877332	0.0243081876742225	0.0600513542678057	-0.0247716458047897
R4155	-0.0302592119240648	0.0303627849061644	0.0236305901246605	-0.11487236508045
R4156	0.0464704959475549	-0.0223601222261447	0.0901321770431673	-0.0372053679991547
R4157	-0.0469124978090832	0.0874670164621407	0.0410353204367143	0.0244278020641384
R4158	-0.15582274963558	-0.0313650260956593	0.134031808064672	-0.0197242804893905
S4161	0.0344881169669035	0.0162265285231245	-0.0262427801501513	-0.0648673654139108
S4162	-0.0413955882793521	0.094662440586358	0.0162302790871055	-0.016140459692744
S4165	0.183420794273576	-0.0859466187831826	0.023155805689614	-0.0846680645402635
S4166	0.104421642576907	-0.208980322053348	0.0582327067777216	-0.052139067211481
S4167	-0.0352810811735134	0.115414810526071	-0.107947168452281	-0.129368497938023
S4168	0.154238978923131	0.0488607077273428	0.0259095385438663	0.0120975636292312
S4169	-0.0281837735457498	0.184418727831643	-0.0456819396474215	-0.0238324835997935
S4170	-0.16075775484179	-0.128378887572931	0.135398298176829	0.0212474185824039
T4171	-0.0858999210462181	-0.140803671530719	0.117655214831204	-0.0272196129391916
T4172	0.0428990186168079	0.0440940377670382	0.0301430294803049	-0.0755507524055378
T4173	-0.0898466418857923	-0.219084353734966	0.107964062286377	-0.0582475504794471
T4174	0.232504265964766	0.0236093996139472	0.063369323646164	-0.0172752578895273
T4175	-0.117930552444397	-0.18049379329454	0.141044124379495	-0.0697271731134829
T4177	-0.296611968820663	-0.0569077541385066	0.130047450505264	0.0516419277353777
T4178	0.0383439652448052	-0.230906745749508	0.00482340542185926	-0.0193032725807364
T4179	-0.138728003179867	-0.196951829517934	0.102563557132399	0.0192253223607961
W4193	-0.0670628735307981	0.0315885856232252	-0.00126610578718928	-0.0595375783981719
W4194	0.0364311691675589	0.0553045450295406	0.0222366347948574	0.0216752713055018
W4195	0.0559907568013222	-0.073524453276704	-0.184682531111541	-0.0189634334560662
W4196	-0.0962993954686991	-0.0962417960301939	0.0893278727583124	0.0502874486888884
W4197	-0.211094681627501	-0.150258959517206	0.107465512311018	0.0263424386859852
W4198	-0.252379401983963	-0.0365447197640551	-0.141657548883473	0.0707132346216656
