tiller	PCo1	PCo2	PCo3	PCo4	PC1	PC2	PC3	PC4
W4194	13	0.0364311691675589	0.0553045450295406	0.0222366347948574	0.0216752713055018	-0.0669679	-0.0689402	-0.00513256	-0.00521308
W4195	15.67	0.0559907568013222	-0.073524453276704	-0.184682531111541	-0.0189634334560662	-0.0719206	-0.0709457	0.00353428	-0.0011975
W4196	12.33	-0.0962993954686991	-0.0962417960301939	0.0893278727583124	0.0502874486888884	-0.0710787	-0.075235	0.00296834	-0.0044999
W4197	11	-0.211094681627501	-0.150258959517206	0.107465512311018	0.0263424386859852	-0.0704618	-0.0523834	0.0046516	0.0277436
W4198	9	-0.252379401983963	-0.0365447197640551	-0.141657548883473	0.0707132346216656	0.0908834	-0.0121583	-0.133416	0.000650599
W4199	10.67	-0.136625951034656	0.0232069888052084	-0.324163526251877	-0.16189718126125	0.0892517	-0.01245	-0.144866	0.000803208
W4200	26	0.198888736467645	0.045033728165575	0.0242673631496346	-0.0540441004991013	-0.0680986	-0.0684806	0.0105343	-0.0104739
X4203	30.67	0.233818966205123	-0.00691037174979251	0.0810900004051378	-0.0660621827858602	-0.0641296	-0.0706903	0.0136204	-0.0232038
X4204	20.67	-0.130850637446505	-0.0644157305462737	-0.0845496619119173	-0.033224114879154	-0.0721884	-0.0674154	0.00570432	0.0158187
X4205	14.67	0.00546432767222788	0.152097150509588	-0.0626227904034993	-0.106472168029618	-0.0676069	-0.0582558	0.00493155	0.0221485
X4206	7.33	0.0173981618786353	-0.0449726229673614	0.102114738052105	-0.0210611509947424	-0.0123419	0.12851	0.000623607	0.211992
X4208	8	-0.0994294008867771	0.0382712540470005	0.108786603222543	0.0337757004390418	-0.0411293	0.132548	0.00523804	0.213528
X4209	4.67	-0.136472000866993	0.15535702033838	-0.0569484862125796	-0.0956720385833306	0.097591	-0.00886856	-0.106909	0.00360371
X4210	18	-0.0981075797259734	-0.032337718535033	0.0384555374275086	-0.00213607675245612	-0.0689825	-0.070753	0.00792983	0.00925607
Y4211	7	-0.160582407524721	-0.13239025488082	0.0118555151895483	0.0254305696633803	0.112135	-0.0112344	0.143761	-0.0107723
Y4212	6.67	-0.227950784218041	0.035908841348182	0.091038097909962	0.0291621332972803	0.0938599	-0.0125081	-0.126956	0.00339206
Y4213	11.33	-0.200740819352937	0.111782428487495	0.0541514065823076	0.00334728085800704	0.0875846	-0.0149494	-0.131638	0.001358
Y4214	7.5	-0.134416636302727	0.0535627625289452	-0.00418254404980317	0.0156538802370557	0.0900442	-0.0149994	-0.126458	0.00468403
Y4215	18	-7.84235941694579e-05	-0.0735399680312339	0.100110235615004	-0.00754011209819323	-0.0690257	-0.070519	0.0122554	0.0386991
Y4216	11.33	-0.0963147315547324	-0.0481893223543141	0.0522207895734507	0.0157951376555427	0.0942816	-0.013086	0.0416996	0.00550141
